0
0
(317330.7975743221+0j),(-1445.9201355748787+30.977592950472978j),(-1531.5006906502788+64.84388544706405j),(-1695.2240516821973+105.54937806813865j),(-1982.7629156980818+160.1104470773036j),(-2507.2366097205877+244.26815079776975j),(-3618.400798211958+405.1804874277575j),(-7134.27941419113+885.9382848915893j),(157353.80514870872-21067.2622372075j),(6256.626790300914-882.2920625370671j),(3154.4013408136493-459.19572795104244j),(2105.7116657491233-310.81400735518423j),(1585.4331178323378-233.3982753642303j),(1278.5539818330308-184.79813173721675j),(1078.7653631985972-150.74241675501665j),(940.2624391445152-125.04746677145427j),(840.1174148286427-104.5902817793831j),(765.6247419607641-87.61658937838618j),(709.2110507099144-73.05926543641037j),(666.1141785138159-60.226630992042374j),(633.2218243642274-48.64559488768046j),(608.447870575122-37.97647135110207j),(590.3790605859172-27.963642292683843j),(578.0672734929622-18.40523706080989j),(570.9053667278167-9.133323638744523j),(568.5543984559936+2.55351295663786e-13j),(570.9053667278167+9.133323638744319j),(578.0672734929615+18.405237060809696j),(590.3790605859145+27.96364229267123j),(608.447870575122+37.976471351101715j),(633.2218243642274+48.64559488768046j),(666.1141785138159+60.22663099204264j),(709.2110507099164+73.05926543641341j),(765.624741960765+87.61658937838689j),(840.1174148286427+104.59028177938305j),(940.2624391445155+125.04746677145476j),(1078.7653631985968+150.74241675501656j),(1278.5539818330294+184.79813173721647j),(1585.4331178323346+233.39827536422268j),(2105.7116657491233+310.8140073551839j),(3154.4013408136493+459.19572795104244j),(6256.626790300914+882.2920625370665j),(157353.80514870872+21067.262237207513j),(-7134.27941419113-885.9382848915888j),(-3618.400798211958-405.1804874277573j),(-2507.236609720588-244.2681507977688j),(-1982.762915698081-160.11044707730335j),(-1695.224051682198-105.54937806813993j),(-1531.5006906502713-64.8438854470582j),(-1445.9201355748783-30.9775929504732j)
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,(-1.2105909728997828e-14-1.5293320515889903e-15j),(1.9116650644862378e-16-1.5132387161247284e-15j),0j,0j,0j,(-2.4469312825423844e-14+1.9369455566396524e-13j),(4.765897289019683e-14+1.2170283070854877e-14j),0j,0j,0j,(1.9116650644862378e-16-1.5132387161247284e-15j),0j,0j,(9.558325322431189e-17-7.566193580623642e-16j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-4.7791626612155946e-17+3.783096790311821e-16j),0j,0j,0j,0j,(6.052954864498914e-15+7.646660257944951e-16j),0j,0j,(-1.9116650644862378e-16+1.5132387161247284e-15j),(-1.9116650644862378e-16+1.5132387161247284e-15j),0j,0j,(4.842363891599131e-14+6.117328206355961e-15j),0j,0j,(-3.8233301289724757e-16+3.026477432249457e-15j),0j,0j,0j,0j,(-1.2105909728997828e-14-1.5293320515889903e-15j)
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
(2.087540673394746e-12-8.265158221014364e-13j),0j,(-1.0089304469011674e-16-2.5482674235775707e-16j),(-7.95266966606799e-15+3.7382309147992466e-15j),(7.750883576687758e-15-4.247884399514762e-15j),(4.0357217876046697e-16+1.0193069694310283e-15j),(1.6308911510896453e-14-6.4571548601674716e-15j),(-1.6142887150418679e-15-4.077227877724113e-15j),(5.165723888133977e-14+1.3047129208717162e-13j),(3.423211173683476e-14-8.837081842610831e-15j),(1.711605586841738e-14-4.418540921305416e-15j),(8.961600112969158e-15-1.1899634912216768e-15j),0j,(3.673655698963646e-15-2.6335956844728954e-15j),(-4.279013967104345e-15+1.104635230326354e-15j),(-2.0178608938023349e-16-5.096534847155141e-16j),(-2.0178608938023349e-16-5.096534847155141e-16j),0j,(-1.0089304469011674e-16-2.5482674235775707e-16j),0j,(-2.1395069835521725e-15+5.52317615163177e-16j),(-5.044652234505837e-17-1.2741337117887854e-16j),(1.9881674165169975e-15-9.345577286998116e-16j),(2.0638372000345858e-15-7.434376719314941e-16j),(-2.051225569448321e-15+7.752910147262142e-16j),(-4.077227877724113e-15+1.6142887150418655e-15j),(-2.0638372000345858e-15+7.434376719314941e-16j),(-2.0638372000345858e-15+7.434376719314941e-16j),0j,(1.0089304469011674e-16+2.5482674235775707e-16j),(-1.9377208941719395e-15+1.0619710998786905e-15j),0j,0j,0j,(4.077227877724113e-15-1.6142887150418679e-15j),0j,(4.077227877724113e-15-1.6142887150418679e-15j),(-3.673655698963646e-15+2.6335956844728954e-15j),(8.55802793420869e-15-2.209270460652708e-15j),(8.55802793420869e-15-2.209270460652708e-15j),(1.5501767153375516e-14-8.495768799029524e-15j),(3.2617823021792906e-14-1.2914309720334943e-14j),0j,(-1.6142887150418679e-15-4.077227877724113e-15j),(1.711605586841738e-14-4.418540921305416e-15j),0j,(-4.0357217876046697e-16-1.0193069694310283e-15j),0j,(-8.255348800138343e-15+2.9737506877259764e-15j),(-8.204902277793285e-15+3.101164058904857e-15j)
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
(1.3060317819129415e-12-1.578721227368195e-12j),0j,(-1.927149935752191e-16-1.5942770775304462e-16j),(-4.71625666094699e-15+6.485735209913101e-15j),(4.330826673796551e-15-6.804590625419191e-15j),(7.708599743008764e-16+6.377108310121785e-16j),(1.0203373296194855e-14-1.2333759588814023e-14j),(-3.0834398972035057e-15-2.550843324048714e-15j),(9.867007671051218e-14+8.162698636955884e-14j),(2.3490186489593218e-14-2.2116675853579335e-14j),(1.1745093244796609e-14-1.1058337926789668e-14j),(6.6434065966991806e-15-4.891458132382656e-15j),0j,(1.779983349747837e-15-3.7211507282156834e-15j),(-2.9362733111991523e-15+2.764584481697417e-15j),(-3.854299871504382e-16-3.1885541550608923e-16j),(-3.854299871504382e-16-3.1885541550608923e-16j),0j,(-1.927149935752191e-16-1.5942770775304462e-16j),0j,(-1.4681366555995761e-15+1.3822922408487084e-15j),(-9.635749678760955e-17-7.971385387652231e-17j),(1.1790641652367475e-15-1.6214338024782753e-15j),(1.3236004104181617e-15-1.501863021663492e-15j),(-1.2995110362212591e-15+1.521791485132622e-15j),(-2.5508433240487143e-15+3.0834398972035057e-15j),(-1.3236004104181617e-15+1.501863021663492e-15j),(-1.3236004104181617e-15+1.501863021663492e-15j),0j,(1.927149935752191e-16+1.5942770775304462e-16j),(-1.0827066684491377e-15+1.7011476563547977e-15j),0j,0j,0j,(2.550843324048714e-15-3.0834398972035057e-15j),0j,(2.550843324048714e-15-3.0834398972035057e-15j),(-1.779983349747837e-15+3.7211507282156834e-15j),(5.8725466223983045e-15-5.529168963394834e-15j),(5.8725466223983045e-15-5.529168963394834e-15j),(8.661653347593102e-15-1.3609181250838381e-14j),(2.040674659238971e-14-2.4667519177628046e-14j),0j,(-3.0834398972035057e-15-2.550843324048714e-15j),(1.1745093244796609e-14-1.1058337926789668e-14j),0j,(-7.708599743008764e-16-6.377108310121785e-16j),0j,(-5.294401641672647e-15+6.007452086653968e-15j),(-5.1980441448850365e-15+6.087165940530488e-15j)
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,(-1.7298147244730223e-15+9.068006347000243e-15j),(-1.1335007933750304e-15-2.162268405591278e-16j),0j,0j,0j,(1.450881015520039e-13+2.7677035591568357e-14j),(1.1453262071392187e-14-3.5407118025764474e-14j),0j,0j,0j,(-1.1335007933750304e-15-2.162268405591278e-16j),0j,0j,(-5.667503966875152e-16-1.081134202795639e-16j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(2.833751983437576e-16+5.405671013978195e-17j),0j,0j,0j,0j,(8.649073622365112e-16-4.5340031735001215e-15j),0j,0j,(1.1335007933750304e-15+2.162268405591278e-16j),(1.1335007933750304e-15+2.162268405591278e-16j),0j,0j,(6.919258897892089e-15-3.627202538800097e-14j),0j,0j,(2.2670015867500608e-15+4.324536811182556e-16j),0j,0j,0j,0j,(-1.7298147244730223e-15+9.068006347000243e-15j)
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,(2.842170943040401e-14+4.440892098500626e-16j),0j,0j,(-5.684341886080802e-14+0j),3.552713678800501e-15j,(5.684341886080802e-14+7.105427357601002e-15j),(-2.2737367544323206e-13+0j),0j,(-1.1368683772161603e-13+1.4210854715202004e-14j),(5.684341886080802e-14+0j),0j,(-2.842170943040401e-14+7.105427357601002e-15j),(-2.842170943040401e-14-3.552713678800501e-15j),(-2.842170943040401e-14+0j),-1.7763568394002505e-15j,(-2.842170943040401e-14+0j),0j,0j,(-1.4210854715202004e-14+0j),0j,(-1.4210854715202004e-14+0j),(-1.4210854715202004e-14+4.440892098500626e-16j),-4.440892098500626e-16j,(-1.4210854715202004e-14+2.220446049250313e-16j),0j,(1.4210854715202004e-14+0j),-4.440892098500626e-16j,0j,(-1.4210854715202004e-14+8.881784197001252e-16j),0j,(-1.4210854715202004e-14+8.881784197001252e-16j),(-1.4210854715202004e-14-1.7763568394002505e-15j),(-1.4210854715202004e-14-1.7763568394002505e-15j),(-2.842170943040401e-14-1.7763568394002505e-15j),(2.842170943040401e-14+0j),0j,(-2.842170943040401e-14+0j),-3.552713678800501e-15j,0j,(5.684341886080802e-14+0j),(-1.1368683772161603e-13+2.842170943040401e-14j),0j,(-2.2737367544323206e-13+2.842170943040401e-14j),(5.684341886080802e-14+7.105427357601002e-15j),-7.105427357601002e-15j,(2.842170943040401e-14+0j),(2.842170943040401e-14-1.7763568394002505e-15j),(-2.842170943040401e-14+0j),(-2.842170943040401e-14+4.440892098500626e-16j)
